# v8 phlash-panel per-pop DIPLOID sample sizes. The demography was inferred on v8, so the
# sims use these v8 counts. Simulated == panel (downsample later if needed). OTH is in the
# panel but is NOT simulated (no demography prior mvn/oth_mvn.npz and no OTH theta map).
# Canonical id list: data/v8_phlash_panel.sample_list.txt (10,976 ids).
# (data/aoulr.phase2.in_v9.sample_list.txt is a superseded v9 candidate, not the chosen spec.)
pop	panel_diploid	simulated_at	note
AFR	2417	2417
EUR	1956	1956
AMR	1664	1664
EAS	1228	1228
SAS	1144	1144
MID	351	351
OTH	2216	NA	not simulated (no prior/theta)
TOTAL_panel	10976	NA
